name,school_affiliation,keywords
John M. Essigmann,biological-engineering,"Translational phosphoproteomics methods to identify biomarkers
and novel therapeutic targets; Global Cancer Risk From Unregulated Polycyclic Aromatic Hydrocarbons; Excision of mutagenic replication-blocking lesions suppresses cancer but promotes cytotoxicity and lethality in nitrosamine-exposed mice; Andrographolide, an Antioxidant, Counteracts Paraquat- Induced Mutagenesis in Mammalian Cells; Metallocalix[4]arene Polymers for Gravimetric Detection of N- Nitrosodialkylamines; Analysis of DNA damage and repair responses in cerium exposed cells and hepatocyte spheroids; Modulation of N-Methyl-N-nitrosourea Mutagenesis in Mouse Embryo Fibroblasts Derived from the gpt Delta Mouse by an Inhibitor of the O6-Methylguanine Methyltransferase, MGMT; Chemiresistive Carbon Nanotube Sensors for N-Nitrosodialkylamines; Mutagenicity of Helicobacter hepaticus infection in the lower bowel mucosa of 129/SvEv Rag2−/−Il10−/−gpt delta mice is influenced by sex; DNA repair enzymes ALKBH2, ALKBH3, and AlkB oxidize 5-methylcytosine to 5-hydroxymethylcytosine, 5-formylcytosine and 5-carboxylcytosine in vitro; Directed evolution in human cells via adenoviral replication; A systems-level view of the tRNA epitranscriptome : defining the role of tRNA abundance, stability, and modifications in the bacterial stress response; Impact of DNA lesion repair, replication and formation on the mutational spectra of environmental carcinogens: Aflatoxin B1 as a case study; Peptide conjugation to enhance oligonucleotide delivery; Leveraging cell micropatterning technology for rapid cell-based assessment of chemical toxicity and population variation in toxicity susceptibility; Protective antigen-mediated delivery of biomolecules; Chaperoning viral protein evolution; An engineered cell line lacking OGG1 and MUTYH glycosylases implicates the accumulation of genomic 8-oxoguanine as the basis for paraquat mutagenicity; Editor’s Highlight: Pregnancy Alters Aflatoxin B1 Metabolism and Increases DNA Damage in Mouse Liver; Early Detection of the Aflatoxin B₁ Mutational Fingerprint: A Diagnostic Tool for Liver Cancer"
James G. Fox,biological-engineering,"Quantitative Proteogenomic Characterization of Inflamed Murine Colon Tissue Using an Integrated Discovery, Verification, and Validation Proteogenomic Workflow; Systemic Helicobacter infection and associated mortalities in endangered Grand Cayman blue iguanas (Cyclura lewisi) and introduced green iguanas (Iguana iguana); Dietary suppression of MHC class II expression in intestinal epithelial cells enhances intestinal tumorigenesis; Multi-Omics Characterization of Inflammatory Bowel Disease-Induced Hyperplasia/Dysplasia in the Rag2−/−/Il10−/− Mouse Model; Multi-Omics Characterization of Inflammatory Bowel Disease-Induced Hyperplasia/Dysplasia in the Rag2−/−/Il10−/− Mouse Model; Claudin-18 Loss Alters Transcellular Chloride Flux but not Tight Junction Ion Selectivity in Gastric Epithelial Cells; Contrasting serum biomarker profiles in two Colombian populations with different risks for progression of premalignant gastric lesions during chronic Helicobacter pylori infection; Draft genome sequences of novel campylobacter species isolated from nonhuman primates; Megakaryocytes contain extranuclear histones and may be a source of platelet-associated histones during sepsis; Manuka honey microneedles for enhanced wound healing and the prevention and/or treatment of Methicillin-resistant Staphylococcus aureus (MRSA) surgical site infection; Helicobacter spp. in Necropsied Southern Sea Otters (Enhydra lutris nereis) Is Associated With Gastric Ulcers and Sensitive to Multiple Antibiotics; Dichotomous regulation of group 3 innate lymphoid cells by nongastric Helicobacter species; High-Fat Diet Accelerates Carcinogenesis in a Mouse Model of Barrett’s Esophagus via Interleukin 8 and Alterations to the Gut Microbiome; A New Test for the Detection of Direct Oral Anticoagulants (Rivaroxaban and Apixaban) in the Emergency Room Setting; Muc5ac null mice are predisposed to spontaneous gastric antro-pyloric hyperplasia and adenomas coupled with attenuated H. pylori-induced corpus mucous metaplasia; Ketone Body Signaling Mediates Intestinal Stem Cell Homeostasis and Adaptation to Diet; Mutagenicity of Helicobacter hepaticus infection in the lower bowel mucosa of 129/SvEv Rag2−/−Il10−/−gpt delta mice is influenced by sex; Commensal Microbiota Promote Lung Cancer Development via γδ T Cells; Characterization of Campylobacter jejuni, Campylobacter upsaliensis, and a novel Campylobacter sp. in a captive non‐human primate zoological collection; Gamma-glutamyltranspeptidase expression by Helicobacter saguini, an enterohepatic Helicobacter species isolated from cotton top tamarins with chronic colitis"
Ernest Fraenkel,biological-engineering,"Single cell metabolism: current and future trends; Systems Biology Approaches for Elucidating Early ALS Disease Processes; Chromatin accessibility informs cell identity: studies in silico, in vitro, and in vivo; Immortalized striatal precursor neurons from Huntington’s disease patient-derived iPS cells as a platform for target identification and screening for experimental therapeutics; Genome-scale screens identify factors regulating tumor cell responses to natural killer cells; Phenotyping Neurodegeneration in Human iPSCs; SYSTEMS BIOLOGY APPROACHES TO DECIPHERING COMPLEX IMMUNE RESPONSES; The Application of Double Machine Learning Onto Genomics Data Associated with Amyotrophic Lateral Sclerosis; Generative modeling of single-cell time series with PRESCIENT enables prediction of cell trajectories with interventions; Comparative proteomic analysis highlights metabolic dysfunction in α-synucleinopathy; APOE4 is Associated with Differential Regional Vulnerability to Bioenergetic Deficits in Aged APOE Mice; Single-cell technology developments: from 3' barcoding to recording historical metadata through endothelial cells differentiation; Epigenetic determinants of cellular differentiation, transcriptional reprogramming, and human disease; Cell-Intrinsic and cell-extrinsic resistance to classical chemotherapies; Aberrant Development Corrected in Adult-Onset Huntington's Disease iPSC-Derived Neuronal Cultures via WNT Signaling Modulation; A Multi-Omics Interpretable Machine Learning Model Reveals Modes of Action of Small Molecules; Treatment with JQ1, a BET bromodomain inhibitor, is selectively detrimental to R6/2 Huntington’s disease mice; Early epigenomic and transcriptional changes reveal Elk-1 transcription factor as a therapeutic target in Huntington’s disease; Zfp281 (ZBP-99) plays a functionally redundant role with Zfp148 (ZBP-89) during erythroid development; Bioenergetic deficits in Huntington’s disease iPSC-derived neural cells and rescue with glycolytic metabolites"
Linda G. Griffith,biological-engineering,
Jongyoon Han,biological-engineering,
Darrell J. Irvine,biological-engineering,
Alan P. Jasanoff,biological-engineering,
Roger Dale Kamm,biological-engineering,
Amy E. Keating,biological-engineering,
Robert Langer,biological-engineering,
Douglas A. Lauffenburger,biological-engineering,"Mapping Molecular Changes in Human Neuropsychiatric Disorders to Zebrafish Behavioral Profiles; Cancer-Associated Fibroblasts and Squamous Epithelial Cells Constitute a Unique Microenvironment in a Mouse Model of Inflammation-Induced Colon Cancer; Collateral responses to classical cytotoxic chemotherapies are heterogeneous and sensitivities are sparse; Screening for CD19-specific chimaeric antigen receptors with enhanced signalling via a barcoded library of intracellular domains; Epidemiological and Immunological Features of Obesity and SARS-CoV-2; Translational phosphoproteomics methods to identify biomarkers
and novel therapeutic targets; Profiling, prototyping, and perturbing human immune responses; Computational Interspecies Translation Between Alzheimer’s Disease Mouse Models and Human Subjects Identifies Innate Immune Complement, TYROBP, and TAM Receptor Agonist Signatures, Distinct From Influences of Aging; Antibody Subclass and Glycosylation Shift Following Effective TB Treatment; Using machine learning to increase the predictive value of humanized mouse models for the human immune response to YFV-17D; Quantitative mass spectrometry-based approaches for characterizing the immunopeptidome and tyrosine phosphoproteome in cancer; Single-shot quantitative interferometric microscopy for imaging high-speed dynamics; Cell surface integrin α5ß1 clustering negatively regulates receptor tyrosine kinase signaling in colorectal cancer cells via glycogen synthase kinase 3; Humoral signatures of protective and pathological SARS-CoV-2 infection in children; Discrete SARS-CoV-2 antibody titers track with functional humoral stability; CRISPRi screens to identify combination therapies for the improved treatment of ovarian cancer; Learning causal graphs under interventions and applications to single-cell biological data analysis; Engineering mammalian cell line for N-linked glycosylation control; IP-10 (CXCL10) Can Trigger Emergence of Dormant Breast Cancer Cells in a Metastatic Liver Microenvironment; Systematic in silico analysis of clinically tested drugs for reducing amyloid‐beta plaque accumulation in Alzheimer's disease"
Harvey F. Lodish,biological-engineering,An adipose lncRAP2-Igf2bp2 complex enhances adipogenesis and energy expenditure by stabilizing target mRNAs; Engineered red blood cells carrying PCSK9 inhibitors persistently lower LDL and prevent obesity; Phosphocholine accumulation and PHOSPHO1 depletion promote adipose tissue thermogenesis; Engineering polymer biomaterial interfaces for promoting cellular morphogenesis; Engineered red blood cells and their applications; SYK kinase mediates brown fat differentiation and activation; Fifty years of mentoring and advising; Genetically engineered red cells expressing single domain camelid antibodies confer long-term protection against botulinum neurotoxin; Thyroid hormone receptor beta and NCOA4 regulate terminal erythrocyte differentiation; The Super-Enhancer-Derived alncRNA-EC7/Bloodlinc Potentiates Red Blood Cell Development in  trans; Engineered erythrocytes covalently linked to antigenic peptides can protect against autoimmune disease; Drug discovery for Diamond-Blackfan anemia using reprogrammed hematopoietic progenitors; Regulatory consequences of mRNA Poly(A)-Tail length changes; JAK2 V617F stimulates proliferation of erythropoietin-dependent erythroid progenitors and delays their differentiation by activating Stat1 and other nonerythroid signaling pathways; Efficient CRISPR-Cas9 mediated gene disruption in primary erythroid progenitor cells; A respiratory chain controlled signal transduction cascade in the mitochondrial intermembrane space mediates hydrogen peroxide signaling; PPAR-α and glucocorticoid receptor synergize to promote erythroid progenitor self-renewal; Cpeb4-Mediated Translational Regulatory Circuitry Controls Terminal Erythroid Differentiation; Engineered red blood cells as carriers for systemic delivery of a wide array of functional probes; Transcriptional divergence and conservation of human and mouse erythropoiesis
Jacquin Niles,biological-engineering,"Mucin and mucin glycans alter behaviorof mucosal pathogens; Selective expression of variant surface antigens enables Plasmodium falciparum to evade immune clearance in vivo; Exploring Protoheme IX Farnesyltransferase as an Antimalarial Drug Target; High-resolution time series reveals differential behaviors of closely-related microbes in coastal communities; Chemogenomics identifies acetyl-coenzyme A synthetase as a target for malaria treatment and prevention; The Plasmodium falciparum ABC transporter ABCI3 confers parasite strain-dependent pleiotropic antimalarial drug resistance; Designing Next Generation Nucleic Acid Diagnostics Using Synthetic Biology and Artificial Intelligence; Artificial neural network and precision genome engineering frameworks for genetic system engineering in mammalian cells; Targeted Covalent Inhibition of Plasmodium FK506 Binding Protein 35; Assessment of Biological Role and Insight into Druggability of the Plasmodium falciparum Protease Plasmepsin V; Discovery and engineering of antiviral defense systems in bacteria and archaea; Effects of the mobile genetic element ICEBs1 on bacterial host fitness; Engineering probiotic microbes for in vivo applications; Inhibition of Resistance-Refractory P. falciparum Kinase PKG Delivers Prophylactic, Blood Stage, and Transmission-Blocking Antiplasmodial Activity; Plasmodium Niemann-Pick type C1-related protein is a druggable target required for parasite membrane homeostasis; Structural and functional studies of heme binding proteins toward the understanding of malaria; EXP2 is a nutrient-permeable channel in the vacuolar membrane of Plasmodium and is essential for protein export via PTEX; Genetic technologies to engineer and understand the microbiome; Discovery of novel CRISPR enzymes for transcriptome engineering and human health; The role of megakaryocytes and platelets in infection and immunothrombosis"
Katharina Ribbeck,biological-engineering,
Ram Sasisekharan,biological-engineering,Complexity of Viral Epitope Surfaces as Evasive Targets for Vaccines and Therapeutic Antibodies; An Antigenic Space Framework for Understanding Antibody Escape of SARS-CoV-2 Variants; Glycans in Virus-Host Interactions: A Structural Perspective; Preparing for the Future — Nanobodies for Covid-19?; Modified recombinant human erythropoietin with potentially reduced immunogenicity; Prediction of the binding interface between monoclonal antibody m102.4 and Nipah attachment glycoprotein using structure-guided alanine scanning and computational docking; Hierarchical selective electrokinetic concentration : the universal next-generation biomolecule enrichment technique for molecular diagnostics; Protease activity sensors for noninvasive diagnosis and monitoring of pulmonary diseases; Phase 1 Trial of a Therapeutic Anti–Yellow Fever Virus Human Antibody; In-depth structural characterization of pentosan polysulfate sodium complex drug using orthogonal analytical tools; Antimicrobial Resistance in the Asia Pacific region: a meeting report; Molecular basis for dengue virus broad cross-neutralization by humanized monoclonal antibody 513; Rational Engineering and Characterization of an mAb that Neutralizes Zika Virus by Targeting a Mutationally Constrained Quaternary Epitope; Interrogating structure-function relationships in the pathogenesis and treatment of human disease : insights into the development of therapeutics for emergent tropical viruses; An inter-residue network model to identify mutational-constrained regions on the Ebola coat glycoprotein; Decoding structure-function relationships of glycans; Nuclear Magnetic Resonance and Molecular Dynamics Simulation of the Interaction between Recognition Protein H7 of the Novel Influenza Virus H7N9 and Glycan Cell Surface Receptors; A Structural and Mathematical Modeling Analysis of the Likelihood of Antibody-Dependent Enhancement in Influenza; Glycan–protein interactions in viral pathogenesis; New England harbor seal H3N8 influenza virus retains avian-like receptor specificity
Peter T. C. So,biological-engineering,
Steven R. Tannenbaum,biological-engineering,
William G. Thilly,biological-engineering,"Use of Metformin in Pulmonary Vein Stenosis after TAPVR Repair; Tracing of Human Tumor Cell Lineages by Mitochondrial Mutations; Sirolimus-eluting stents: opposite in vitro effects on the clonogenic cell potential on a long-term exposure; Mapping mitochondrial heteroplasmy in a Leydig tumor by laser capture micro-dissection and cycling temperature capillary electrophoresis; The study of calcified atherosclerotic arteries: an alternative to evaluate the composition of a problematic tissue reveals new insight including metakaryotic cells; DNA polymerase beta inhibitor pamoic acid : toxicity to metakaryotic human cancer stem cells (HT-29); Metakaryotic stem cell nuclei use pangenomic dsRNA/DNA intermediates in genome replication and segregation; Mutator/Hypermutable Fetal/Juvenile Metakaryotic Stem Cells and Human Colorectal Carcinogenesis; Human fetal/tumor metakaryotic stem cells: pangenomic homologous pairing and telomeric end-joining of chromatids; Non-Invasive Prenatal Detection of Trisomy 21 Using Tandem Single Nucleotide Polymorphisms; Distribution of mutant cells in human skin : exploration of the fetal-juvenile mutability hypothesis; Nervous system cancer : analysis of historical mortality rates in the United States and Japan indicate sudden increases in environmental risk; Metakaryotic biology : novel genomic organization in human stem-like cells of fetal-juvenile development and carcinogenesis; Critical study on the development and design of an automated multicapillary electrophoresis instrument with collection of mutant DNA fractions using Constant Denaturant Capillary Electrophoresis (CDCE); Inherited risk for common disease; BE.102 Macroepidemiology, Spring 2005; Nucleobase deamination as a biomarker of inflammatory processes; Physicochemical characterization of immortal strand DNA; Point mutations in normal lungs of smokers and non-smokers; Multi-parametric numerical simulation of age-specific cancer rates in human populations"
Bruce Tidor,biological-engineering,"Modelling the impact of nucleolin expression level on the activity of F3 peptide-targeted pH-sensitive pegylated liposomes containing doxorubicin; Computational approaches to understand the atomistic drivers of enzyme catalysis; Machine learning inspired synthetic biology: neuromorphic computing in mammalian cells; Moving Forward with the New Engineering Education Transformation (NEET) program at MIT - Building community, developing projects, and connecting with industry; Machine Learning Identifies Chemical Characteristics That Promote Enzyme Catalysis; Modeling and controlling uncertainty in multi-level biological systems; Computational modeling of knowledge and uncertainty in systems biology for drug target identification and protein engineering; Novel applications and methods for the computer-aided understanding and design of enzyme activity; Modeling and designing Bc1-2 family protein interactions using high-throughput interaction data; Discovery and characterization of Cas13b, a differentially regulated RNA-targeting CRISPR system; Integrating Omics data : a new software tool and its use in implicating therapeutic targets in Huntington's disease; Rational design of thiolase substrate specificity for metabolic engineering applications; Artificial intelligence and protein engineering : information theoretical approaches to modeling enzymatic catalysis; Computational engineering of small molecules to treat infectious diseases; Determinants of antibody specificity; Identification of features contributing to binding promiscuity of small-molecule inhibitors for rapidly mutating targets; A Fungal-Selective Cytochrome  bc₁ Inhibitor Impairs Virulence and Prevents the Evolution of Drug Resistance; Strong Enrichment of Aromatic Residues in Binding Sites from a Charge-neutralized Hyperthermostable Sso7d Scaffold Library; Exploiting Temporal Collateral Sensitivity in Tumor Clonal Evolution; Comprehensive single and paired drug target identification in healthy and disease models of NF-kB pathway"
Krystyn J. Van Vliet,biological-engineering,
Christopher A. Voigt,biological-engineering,
Ron Weiss,biological-engineering,"Multiplexed transcriptional control strategies for biosynthesis from mixed substrates in Escherichia coli; Scaling up Genetic Circuits in Mammalian Cells: A U1-snRNA-based Platform Enables Mammalian Cells to Compute the Bitwise Inversion of the Square Root of a Number; Robust and tunable signal processing in mammalian cells via engineered covalent modification cycles; Quantitative characterization of recombinase-based digitizer circuits enables predictable amplification of biological signals; Tools for engineering multicellular systems through cell sorting and cell state detection; Artificial neural network and precision genome engineering frameworks for genetic system engineering in mammalian cells; Context-aware synthetic biology by controller design: Engineering the mammalian cell; Incomplete Cell Sorting Creates Engineerable Structures with Long-Term Stability; Engineering mammalian cell line for N-linked glycosylation control; An integrated platform for genome engineering and gene expression perturbation in Plasmodium falciparum; Genetic Tuning of Iron Oxide Nanoparticle Size, Shape, and Surface Properties in            Magnetospirillum magneticum; Compositional Synthesis via a Convex Parameterization of Assume-Guarantee Contracts; Genetic devices for robust, context-independent control of gene expression levels in mammalian cells; Engineering self-assembling living structures with mammalian synthetic biology; Machine learning inspired synthetic biology: neuromorphic computing in mammalian cells; An endoribonuclease-based feedforward controller for decoupling resource-limited genetic modules in mammalian cells; Immunogenicity of RNA Replicons Encoding HIV Env Immunogens Designed for Self-Assembly into Nanoparticles; A ‘poly-transfection’ method for rapid, one-pot characterization and optimization of genetic systems; An Artificial Tissue Homeostasis Circuit Designed via Analog Circuit Techniques; A high-throughput screening and computation platform for identifying synthetic promoters with enhanced cell-state specificity (SPECS)"
Forest M. White,biological-engineering,"Identification of Src Family Kinases as Potential Therapeutic Targets for Chemotherapy-Resistant Triple Negative Breast Cancer; Systems Biology Approaches for Elucidating Early ALS Disease Processes; Translational phosphoproteomics methods to identify biomarkers
and novel therapeutic targets; Global Cancer Risk From Unregulated Polycyclic Aromatic Hydrocarbons; Leveraging Immunopeptidomics To Study and Combat Infectious Disease; Quantitative mass spectrometry-based approaches for characterizing the immunopeptidome and tyrosine phosphoproteome in cancer; Excision of mutagenic replication-blocking lesions suppresses cancer but promotes cytotoxicity and lethality in nitrosamine-exposed mice; Phosphoproteomics analysis of Alzheimer's disease; Quantitative Consequences of Protein Carriers in Immunopeptidomics and Tyrosine Phosphorylation MS2 Analyses; Quantitative analysis of tyrosine phosphorylation from FFPE tissues reveals patient-specific signaling networks; High-density, targeted monitoring of tyrosine phosphorylation reveals activated signaling networks in human tumors; Phosphoproteomics identifies microglial Siglec‐F inflammatory response during neurodegeneration; Platform for micro-invasive membrane-free biochemical sampling of brain interstitial fluid; Multiplexed relative and absolute quantitative immunopeptidomics reveals MHC I repertoire alterations induced by CDK4/6 inhibition; Engineering diatom peptides for the synthesis of silica nanomaterials; Localized metabolomic gradients in patient-derived xenograft models of glioblastoma; Light-regulated allosteric switch enables temporal and subcellular control of enzyme activity; High‐fat diet in a mouse insulin‐resistant model induces widespread rewiring of the phosphotyrosine signaling network; Rebalancing Protein Homeostasis Enhances Tumor Antigen Presentation; Engineering polymer biomaterial interfaces for promoting cellular morphogenesis"
Karl Dane Wittrup,biological-engineering,Elucidating the functional states of tumor-resident dendritic cells that drive productive anti-tumor immunity; High-throughput phenotypic screen and transcriptional analysis identify new compounds and targets for macrophage reprogramming; Modeling and controlling uncertainty in multi-level biological systems; A Raf-competitive K-Ras binder can fail to functionally antagonize signaling; Directed evolution of broadly crossreactive chemokine-blocking antibodies efficacious in arthritis; An engineered protein antagonist of K-Ras/B-Raf interaction; Cytosolic delivery of siRNA by ultra-high affinity dsRNA binding proteins; Integrin-targeted cancer immunotherapy elicits protective adaptive immune responses; Anti-tumor Antibodies Can Drive Therapeutic T Cell Responses; Temporally Programmed CD8α[superscrip +] DC Activation Enhances Combination Cancer Immunotherapy; Eradication of large established tumors in mice by combination immunotherapy that engages innate and adaptive immune responses; Comparative Analysis of Bispecific Antibody and Streptavidin-Targeted Radioimmunotherapy for B-cell Cancers; Strong Enrichment of Aromatic Residues in Binding Sites from a Charge-neutralized Hyperthermostable Sso7d Scaffold Library; Design Principles for SuCESsFul Biosensors: Specific Fluorophore/Analyte Binding and Minimization of Fluorophore/Scaffold Interactions; Determination of Cellular Processing Rates for a Trastuzumab-Maytansinoid Antibody-Drug Conjugate (ADC) Highlights Key Parameters for ADC Design; A Flow Cytometric Clonogenic Assay Reveals the Single-Cell Potency of Doxorubicin; Theranostic pretargeted radioimmunotherapy of colorectal cancer xenografts in mice using picomolar affinity [superscript 86]Y- or [superscipt 177]Lu-DOTA-Bn binding scFv C825/GPA33 IgG bispecific immunoconjugates; Molecular Magnetic Resonance Imaging of Tumor Response to Therapy; High throughput cross-interaction measures for human IgG1 antibodies correlate with clearance rates in mice; Synergistic Innate and Adaptive Immune Response to Combination Immunotherapy with Anti-Tumor Antigen Antibodies and Extended Serum Half-Life IL-2
Michael B. Yaffe,biological-engineering,
Feng Zhang,biological-engineering,"MuscleRehab: Improving Unsupervised Physical Rehabilitation by Monitoring and Visualizing Muscle Engagement; A Mechanistic Evaluation of the Role of Aneuploidy During Oncogenesis; The Benefits and Detriments of Aneuploidy in Cancer; The widespread IS200/IS605 transposon family encodes diverse programmable RNA-guided endonucleases; Methods for CRISPR Cas12a Multiplexing in Mammalian Systems; Interrogation of Changes in Cell State during Tumor Evolution of a Genetically Engineered Mouse Model of Lung Adenocarcinoma; Mammalian retrovirus-like protein PEG10 packages its own mRNA and can be pseudotyped for mRNA delivery; HLA class-I-peptide stability mediates CD8+ T cell immunodominance hierarchies and facilitates HLA-associated immune control of HIV; CRISPR-based diagnostics; Ongoing global and regional adaptive evolution of SARS-CoV-2; Designing Next Generation Nucleic Acid Diagnostics Using Synthetic Biology and Artificial Intelligence; Artificial neural network and precision genome engineering frameworks for genetic system engineering in mammalian cells; Enabling Contactless Sleep Studies at Home using Wireless Signals; MFSD7C: A Solute Carrier Linking Heme and Calcium in Mitochondrial Energy Metabolism; Pluripotent stem cell-derived models of neurological diseases reveal early transcriptional heterogeneity; The evolution of red color vision is linked to coordinated rhodopsin tuning in lycaenid butterflies; CRISPRi screens to identify combination therapies for the improved treatment of ovarian cancer; Applications of forward genetic screens to LncRNAs, cancer immunotherapy, and cellular engineering; Engineering mammalian cell line for N-linked glycosylation control; A cellular and spatial map of the choroid plexus across brain ventricles and ages"
Michael Birnbaum,biological-engineering,
Paul C. Blainey,biological-engineering,
Angela N. Koehler,biological-engineering,Direct capture of neutralized RBD enables rapid point-of-care assessment of SARS-CoV-2 neutralizing antibody titer; Modulating Androgen Receptor-Driven Transcription in Prostate Cancer with Selective CDK9 Inhibitors; Transcription Factor Inhibition: Lessons Learned and Emerging Targets; Stabilization of the Max Homodimer with a Small Molecule Attenuates Myc-Driven Transcription; Discovery and characterization of a small molecule that modulates c-Myc mediated transcription via max homodimer stabilization; Epigenetic Modulation Using Small Molecules - Targeting Histone Acetyltransferases in Disease; A Novel Small Molecule Activator of Nuclear Receptor SHP Inhibits HCC Cell Migration via Suppressing Ccl2; Diversity-Oriented Synthesis as a Strategy for Fragment Evolution against GSK3β; Identification of cancer-cytotoxic modulators of PDE3A by predictive chemogenomics; Advances in discovering small molecules to probe protein function in a systems context; Chemical perturbation of an intrinsically disordered region of TFIID distinguishes two modes of transcription initiation; Probing Small-Molecule Microarrays with Tagged Proteins in Cell Lysates; A Small Molecule That Binds and Inhibits the ETV1 Transcription Factor Oncoprotein
Kelly Ann Metcalf Pate,biological-engineering,
Bryan Bryson,biological-engineering,
Anders Hansen,biological-engineering,
Maxine Jonas,biological-engineering,Mechanical and transcriptional alterations during cancer cell transendothelial migration; Engineering diatom peptides for the synthesis of silica nanomaterials; Wide-field structured illumination microscopy for fluorescence and pump-probe imaging; Engineering yeast for heavy metal waste remediation; Engineering layer-by-layer nanoparticles for the targeted delivery of therapeutics to ovarian cancer; From bacteria to buildings : additive manufacturing outside the box; Multifocal Multiphoton Microscopy for Neurobiological Imaging; Fluorescence laser tracking microrheology for quantitative studies of cytoskeletal mechanotransduction; High resolution imaging and lithography using interference of light and surface plasmon waves; Three-dimensional flow-induced dynamics of the endothelial surface glycocalyx layer; Analysis of the structural changes caused by positive DNA supercoiling; Immunomodulation by subclinical persistent infection with Helicobacter hepaticus; Super-resolution wide-field optical microscopy by use of Evanescent standing waves; Towards rational design of peptides for selective interaction with inorganic materials; Development of mass spectrometry based technologies for quantitative cell signaling phosphoproteomics : the epidermal growth factor receptor family as a model system; Synthesis of a hydrogel-based vaccine to mimic dendritic cell responses to pathogens; Microvessel structure formation in a 3D perfused co-culture of rat hepatocytes and liver endothelial cells; Mass transfer and structural analysis of microfluidic sensors; The mechanics of mechanotransduction : analyses of cell perturbation; Nanoscale and microscale approaches for engineering the in vitro cellular microenvironment
Noreen L. Lyell,biological-engineering,
Steven Wasserman,biological-engineering,
Justin Buck,biological-engineering,
Sean Aidan Clarke,biological-engineering,
Rebecca Meyer,biological-engineering,
Chiara Ricci-Tam,biological-engineering,
Kevin Ly,biological-engineering,
Jaime Zhan,biological-engineering,
Michal Caspi Tal,biological-engineering,Guardians of the oral and nasopharyngeal galaxy: IgA and protection against SARS-CoV-2 infection
Mark Coughlin,biological-engineering,Engineered microvascular brain-on-a-chip model for the study of tumor progression; Vascularized adipose tissue in a 3D microfluidic chip for the study of ovarian cancer intraperitoneal metastases
Robert G. Croy,biological-engineering,"Excision of mutagenic replication-blocking lesions suppresses cancer but promotes cytotoxicity and lethality in nitrosamine-exposed mice; Metallocalix[4]arene Polymers for Gravimetric Detection of N- Nitrosodialkylamines; Modulation of N-Methyl-N-nitrosourea Mutagenesis in Mouse Embryo Fibroblasts Derived from the gpt Delta Mouse by an Inhibitor of the O6-Methylguanine Methyltransferase, MGMT; Chemiresistive Carbon Nanotube Sensors for N-Nitrosodialkylamines; Editor’s Highlight: Pregnancy Alters Aflatoxin B1 Metabolism and Increases DNA Damage in Mouse Liver; Early Detection of the Aflatoxin B₁ Mutational Fingerprint: A Diagnostic Tool for Liver Cancer; NEIL1 protects against aflatoxin-induced hepatocellular carcinoma in mice; Mutational spectra of aflatoxin B; Sulforaphane, a cancer chemopreventive agent, induces pathways associated with membrane biosynthesis in response to tissue damage by aflatoxin B1; Prenatal exposure of mice to the human liver carcinogen aflatoxin B; Modulation of the response to cisplatin by nitric oxide and reactive oxygen species in melanoma cells; Convergent synthesis of a steroidal antiestrogen-mitomycin C hybrid using “click” chemistry; AFB1-induced mutagenesis of the gpt gene in AS52 cells; Chemical genetics analysis of an aniline mustard anticancer agent reveals complex I of the electron transport chain as a target; Aflatoxin B[subscript 1]-DNA adduct formation and mutagenicity in livers of neonatal female B6C3F1 mice; Sulforaphane-Mediated Reduction of Aflatoxin B-1-N-7-Guanine in Rat Liver DNA: Impacts of Strain and Sex; Metabolic and mechanistic exploration of a novel programmable genotoxicant against prostate cancer; Mechanistic investigation of an anticancer agent that damages DNA and interacts with the androgen receptor; Mechanistic investigation of anticancer agents that damage DNA and interact with the estrogen receptor; The androgen receptor independent mechanism of toxicity of the novel anti-tumor agent 11[beta]-dichloro"
